"frameNum" "objNum" "subFrameNum" "objType(0=box,1=ellipse,2=sphere)" "x" "y" "r1" "r2" "phi" "color" "z" "zScaled"           
0 0 0 0 840 360 0.1 150 0 0.1 0 1
1 0 0 0 840 360 0.1 150 0 0.1 0 1
2 0 0 0 840 360 0.1 150 0 0.1 0 1
3 0 0 0 840 360 0.1 150 0 0.1 0 1
4 0 0 0 840 360 0.1 150 0 0.1 0 1
5 0 0 0 840 360 0.1 150 0 0.1 0 1
6 0 0 0 840 360 0.1 150 0 0.1 0 1
7 0 0 0 840 360 0.1 150 0 0.1 0 1
8 0 0 0 840 360 0.1 150 0 0.1 0 1
9 0 0 0 840 360 0.1 150 0 0.1 0 1
10 0 0 0 840 360 0.1 150 0 0.1 0 1
11 0 0 0 840 360 0.1 150 0 0.1 0 1
12 0 0 0 840 360 0.1 150 0 0.1 0 1
13 0 0 0 840 360 0.1 150 0 0.1 0 1
14 0 0 0 840 360 0.1 150 0 0.1 0 1
15 0 0 0 840 360 0.1 150 0 0.1 0 1
16 0 0 0 840 360 0.1 150 0 0.1 0 1
17 0 0 0 840 360 0.1 150 0 0.1 0 1
18 0 0 0 840 360 0.1 150 0 0.1 0 1
19 0 0 0 840 360 0.1 150 0 0.1 0 1
20 0 0 0 840 360 0.1 150 0 0.1 0 1
21 0 0 0 840 360 0.1 150 0 0.1 0 1
22 0 0 0 840 360 0.1 150 0 0.1 0 1
23 0 0 0 840 360 0.1 150 0 0.1 0 1
24 0 0 0 840 360 0.1 150 0 0.1 0 1
25 0 0 0 840 360 0.1 150 0 0.1 0 1
26 0 0 0 840 360 0.1 150 0 0.1 0 1
27 0 0 0 840 360 0.1 150 0 0.1 0 1
28 0 0 0 840 360 0.1 150 0 0.1 0 1
29 0 0 0 840 360 0.1 150 0 0.1 0 1
30 0 0 0 840 360 0.1 150 0 0.1 0 1
31 0 0 0 840 360 0.1 150 0 0.1 0 1
32 0 0 0 840 360 0.1 150 0 0.1 0 1
33 0 0 0 840 360 0.1 150 0 0.1 0 1
34 0 0 0 840 360 0.1 150 0 0.1 0 1
35 0 0 0 840 360 0.1 150 0 0.1 0 1
36 0 0 0 840 360 0.1 150 0 0.1 0 1
37 0 0 0 840 360 0.1 150 0 0.1 0 1
38 0 0 0 840 360 0.1 150 0 0.1 0 1
39 0 0 0 840 360 0.1 150 0 0.1 0 1
40 0 0 0 840 360 0.1 150 0 0.1 0 1
41 0 0 0 840 360 0.1 150 0 0.1 0 1
42 0 0 0 840 360 0.1 150 0 0.1 0 1
43 0 0 0 840 360 0.1 150 0 0.1 0 1
44 0 0 0 840 360 0.1 150 0 0.1 0 1
45 0 0 0 840 360 0.1 150 0 0.1 0 1
46 0 0 0 840 360 0.1 150 0 0.1 0 1
47 0 0 0 840 360 0.1 150 0 0.1 0 1
48 0 0 0 840 360 0.1 150 0 0.1 0 1
49 0 0 0 840 360 0.1 150 0 0.1 0 1
50 0 0 0 840 360 0.1 150 0 0.1 0 1
51 0 0 0 840 360 0.1 150 0 0.1 0 1
52 0 0 0 840 360 0.1 150 0 0.1 0 1
53 0 0 0 840 360 0.1 150 0 0.1 0 1
54 0 0 0 840 360 0.1 150 0 0.1 0 1
55 0 0 0 840 360 0.1 150 0 0.1 0 1
56 0 0 0 840 360 0.1 150 0 0.1 0 1
57 0 0 0 840 360 0.1 150 0 0.1 0 1
58 0 0 0 840 360 0.1 150 0 0.1 0 1
59 0 0 0 840 360 0.1 150 0 0.1 0 1
60 0 0 0 840 360 0.1 150 0 0.1 0 1
61 0 0 0 829.74 360 0.1 150 0 0.1 0 1
62 0 0 0 819.49 360 0.1 150 0 0.1 0 1
63 0 0 0 809.23 360 0.1 150 0 0.1 0 1
64 0 0 0 798.97 360 0.1 150 0 0.1 0 1
65 0 0 0 788.72 360 0.1 150 0 0.1 0 1
66 0 0 0 778.46 360 0.1 150 0 0.1 0 1
67 0 0 0 768.21 360 0.1 150 0 0.1 0 1
68 0 0 0 757.95 360 0.1 150 0 0.1 0 1
69 0 0 0 747.69 360 0.1 150 0 0.1 0 1
70 0 0 0 737.44 360 0.1 150 0 0.1 0 1
71 0 0 0 727.18 360 0.1 150 0 0.1 0 1
72 0 0 0 716.92 360 0.1 150 0 0.1 0 1
73 0 0 0 706.67 360 0.1 150 0 0.1 0 1
74 0 0 0 696.41 360 0.1 150 0 0.1 0 1
75 0 0 0 686.15 360 0.1 150 0 0.1 0 1
76 0 0 0 675.9 360 0.1 150 0 0.1 0 1
77 0 0 0 665.64 360 0.1 150 0 0.1 0 1
78 0 0 0 655.38 360 0.1 150 0 0.1 0 1
79 0 0 0 645.13 360 0.1 150 0 0.1 0 1
80 0 0 0 634.87 360 0.1 150 0 0.1 0 1
81 0 0 0 624.62 360 0.1 150 0 0.1 0 1
82 0 0 0 614.36 360 0.1 150 0 0.1 0 1
83 0 0 0 604.1 360 0.1 150 0 0.1 0 1
84 0 0 0 593.85 360 0.1 150 0 0.1 0 1
85 0 0 0 583.59 360 0.1 150 0 0.1 0 1
86 0 0 0 573.33 360 0.1 150 0 0.1 0 1
87 0 0 0 563.08 360 0.1 150 0 0.1 0 1
88 0 0 0 552.82 360 0.1 150 0 0.1 0 1
89 0 0 0 542.56 360 0.1 150 0 0.1 0 1
90 0 0 0 532.31 360 0.1 150 0 0.1 0 1
91 0 0 0 522.05 360 0.1 150 0 0.1 0 1
92 0 0 0 511.79 360 0.1 150 0 0.1 0 1
93 0 0 0 501.54 360 0.1 150 0 0.1 0 1
94 0 0 0 491.28 360 0.1 150 0 0.1 0 1
