"frameNum" "objNum" "subFrameNum" "objType(0=box,1=ellipse,2=sphere)" "x" "y" "r1" "r2" "phi" "color" "z" "zScaled"           
0 0 0 0 815 456.82 1 50 90 1 0 1
1 0 0 0 815 456.82 1 50 90 1 0 1
2 0 0 0 815 456.82 1 50 90 1 0 1
3 0 0 0 815 456.82 1 50 90 1 0 1
4 0 0 0 815 456.82 1 50 90 1 0 1
5 0 0 0 815 456.82 1 50 90 1 0 1
6 0 0 0 815 456.82 1 50 90 1 0 1
7 0 0 0 815 456.82 1 50 90 1 0 1
8 0 0 0 815 456.82 1 50 90 1 0 1
9 0 0 0 815 456.82 1 50 90 1 0 1
10 0 0 0 815 456.82 1 50 90 1 0 1
11 0 0 0 815 456.82 1 50 90 1 0 1
12 0 0 0 815 456.82 1 50 90 1 0 1
13 0 0 0 815 449.91 1 50 90 1 0 1
14 0 0 0 815 442.99 1 50 90 1 0 1
15 0 0 0 815 436.08 1 50 90 1 0 1
16 0 0 0 815 429.16 1 50 90 1 0 1
17 0 0 0 815 422.24 1 50 90 1 0 1
18 0 0 0 815 415.33 1 50 90 1 0 1
19 0 0 0 815 408.41 1 50 90 1 0 1
20 0 0 0 815 401.5 1 50 90 1 0 1
21 0 0 0 815 394.58 1 50 90 1 0 1
22 0 0 0 815 387.66 1 50 90 1 0 1
23 0 0 0 815 380.75 1 50 90 1 0 1
24 0 0 0 815 373.83 1 50 90 1 0 1
25 0 0 0 815 366.92 1 50 90 1 0 1
26 0 0 0 815 360 1 50 90 1 0 1
27 0 0 0 815 353.08 1 50 90 1 0 1
28 0 0 0 815 346.17 1 50 90 1 0 1
29 0 0 0 815 339.25 1 50 90 1 0 1
30 0 0 0 815 332.34 1 50 90 1 0 1
31 0 0 0 815 325.42 1 50 90 1 0 1
32 0 0 0 815 318.5 1 50 90 1 0 1
33 0 0 0 815 311.59 1 50 90 1 0 1
34 0 0 0 815 304.67 1 50 90 1 0 1
35 0 0 0 815 297.76 1 50 90 1 0 1
36 0 0 0 815 290.84 1 50 90 1 0 1
37 0 0 0 815 283.92 1 50 90 1 0 1
38 0 0 0 815 277.01 1 50 90 1 0 1
39 0 0 0 815 270.09 1 50 90 1 0 1
40 0 0 0 815 263.18 0 0 90 1 0 1
41 0 0 0 815 263.18 0 0 90 1 0 1
42 0 0 0 815 263.18 0 0 90 1 0 1
43 0 0 0 815 263.18 0 0 90 1 0 1
44 0 0 0 815 263.18 0 0 90 1 0 1
45 0 0 0 815 263.18 0 0 90 1 0 1
46 0 0 0 815 263.18 0 0 90 1 0 1
47 0 0 0 815 263.18 0 0 90 1 0 1
48 0 0 0 815 263.18 0 0 90 1 0 1
49 0 0 0 815 263.18 0 0 90 1 0 1
50 0 0 0 815 263.18 0 0 90 1 0 1
51 0 0 0 815 263.18 0 0 90 1 0 1
52 0 0 0 815 263.18 0 0 90 1 0 1
